threshold,tp,tn,fp,fn,tpr,fpr
0.0,0,300,0,300,0.0,0.0
0.01,0,300,0,300,0.0,0.0
0.02,0,300,0,300,0.0,0.0
0.03,3,300,0,297,0.01,0.0
0.04,6,300,0,294,0.02,0.0
0.05,7,300,0,293,0.0233333333333,0.0
0.06,10,300,0,290,0.0333333333333,0.0
0.07,13,300,0,287,0.0433333333333,0.0
0.08,15,300,0,285,0.05,0.0
0.09,20,300,0,280,0.0666666666667,0.0
0.1,23,300,0,277,0.0766666666667,0.0
0.11,34,300,0,266,0.113333333333,0.0
0.12,39,300,0,261,0.13,0.0
0.13,50,300,0,250,0.166666666667,0.0
0.14,55,300,0,245,0.183333333333,0.0
0.15,63,300,0,237,0.21,0.0
0.16,66,300,0,234,0.22,0.0
0.17,73,300,0,227,0.243333333333,0.0
0.18,76,300,0,224,0.253333333333,0.0
0.19,85,300,0,215,0.283333333333,0.0
0.2,96,300,0,204,0.32,0.0
0.21,101,300,0,199,0.336666666667,0.0
0.22,108,300,0,192,0.36,0.0
0.23,116,300,0,184,0.386666666667,0.0
0.24,123,300,0,177,0.41,0.0
0.25,132,300,0,168,0.44,0.0
0.26,140,297,3,160,0.466666666667,0.01
0.27,144,297,3,156,0.48,0.01
0.28,154,297,3,146,0.513333333333,0.01
0.29,163,297,3,137,0.543333333333,0.01
0.3,173,297,3,127,0.576666666667,0.01
0.31,176,297,3,124,0.586666666667,0.01
0.32,179,297,3,121,0.596666666667,0.01
0.33,185,297,3,115,0.616666666667,0.01
0.34,189,296,4,111,0.63,0.0133333333333
0.35,191,294,6,109,0.636666666667,0.02
0.36,194,293,7,106,0.646666666667,0.0233333333333
0.37,200,292,8,100,0.666666666667,0.0266666666667
0.38,205,291,9,95,0.683333333333,0.03
0.39,210,291,9,90,0.7,0.03
0.4,216,291,9,84,0.72,0.03
0.41,216,288,12,84,0.72,0.04
0.42,217,288,12,83,0.723333333333,0.04
0.43,218,287,13,82,0.726666666667,0.0433333333333
0.44,221,285,15,79,0.736666666667,0.05
