threshold,tp,tn,fp,fn,tpr,fpr
0.0,0,300,0,300,0.0,0.0
0.01,0,300,0,300,0.0,0.0
0.02,1,300,0,299,0.00333333333333,0.0
0.03,1,300,0,299,0.00333333333333,0.0
0.04,4,300,0,296,0.0133333333333,0.0
0.05,6,300,0,294,0.02,0.0
0.06,7,300,0,293,0.0233333333333,0.0
0.07,10,300,0,290,0.0333333333333,0.0
0.08,15,300,0,285,0.05,0.0
0.09,18,300,0,282,0.06,0.0
0.1,22,300,0,278,0.0733333333333,0.0
0.11,26,300,0,274,0.0866666666667,0.0
0.12,30,300,0,270,0.1,0.0
0.13,36,300,0,264,0.12,0.0
0.14,42,300,0,258,0.14,0.0
0.15,52,300,0,248,0.173333333333,0.0
0.16,57,300,0,243,0.19,0.0
0.17,66,300,0,234,0.22,0.0
0.18,75,300,0,225,0.25,0.0
0.19,83,300,0,217,0.276666666667,0.0
0.2,88,300,0,212,0.293333333333,0.0
0.21,95,300,0,205,0.316666666667,0.0
0.22,103,300,0,197,0.343333333333,0.0
0.23,114,300,0,186,0.38,0.0
0.24,119,300,0,181,0.396666666667,0.0
0.25,124,300,0,176,0.413333333333,0.0
0.26,132,299,1,168,0.44,0.00333333333333
0.27,139,298,2,161,0.463333333333,0.00666666666667
0.28,141,298,2,159,0.47,0.00666666666667
0.29,149,298,2,151,0.496666666667,0.00666666666667
0.3,152,298,2,148,0.506666666667,0.00666666666667
0.31,152,298,2,148,0.506666666667,0.00666666666667
0.32,153,298,2,147,0.51,0.00666666666667
0.33,161,298,2,139,0.536666666667,0.00666666666667
0.34,170,298,2,130,0.566666666667,0.00666666666667
0.35,173,298,2,127,0.576666666667,0.00666666666667
0.36,175,294,6,125,0.583333333333,0.02
0.37,180,292,8,120,0.6,0.0266666666667
0.38,183,291,9,117,0.61,0.03
0.39,189,289,11,111,0.63,0.0366666666667
0.4,191,288,12,109,0.636666666667,0.04
0.41,193,287,13,107,0.643333333333,0.0433333333333
0.42,195,287,13,105,0.65,0.0433333333333
