threshold,tp,tn,fp,fn,tpr,fpr
0.0,0,300,0,300,0.0,0.0
0.01,0,300,0,300,0.0,0.0
0.02,1,300,0,299,0.00333333333333,0.0
0.03,1,300,0,299,0.00333333333333,0.0
0.04,3,300,0,297,0.01,0.0
0.05,6,300,0,294,0.02,0.0
0.06,12,300,0,288,0.04,0.0
0.07,19,300,0,281,0.0633333333333,0.0
0.08,21,300,0,279,0.07,0.0
0.09,27,300,0,273,0.09,0.0
0.1,42,300,0,258,0.14,0.0
0.11,50,300,0,250,0.166666666667,0.0
0.12,57,300,0,243,0.19,0.0
0.13,60,300,0,240,0.2,0.0
0.14,71,300,0,229,0.236666666667,0.0
0.15,79,300,0,221,0.263333333333,0.0
0.16,88,300,0,212,0.293333333333,0.0
0.17,95,300,0,205,0.316666666667,0.0
0.18,106,300,0,194,0.353333333333,0.0
0.19,110,300,0,190,0.366666666667,0.0
0.2,113,300,0,187,0.376666666667,0.0
0.21,119,300,0,181,0.396666666667,0.0
0.22,128,299,1,172,0.426666666667,0.00333333333333
0.23,133,297,3,167,0.443333333333,0.01
0.24,141,296,4,159,0.47,0.0133333333333
0.25,148,296,4,152,0.493333333333,0.0133333333333
0.26,157,295,5,143,0.523333333333,0.0166666666667
0.27,157,295,5,143,0.523333333333,0.0166666666667
0.28,161,295,5,139,0.536666666667,0.0166666666667
0.29,164,291,9,136,0.546666666667,0.03
0.3,173,289,11,127,0.576666666667,0.0366666666667
0.31,185,289,11,115,0.616666666667,0.0366666666667
0.32,188,289,11,112,0.626666666667,0.0366666666667
0.33,191,289,11,109,0.636666666667,0.0366666666667
0.34,195,289,11,105,0.65,0.0366666666667
0.35,200,286,14,100,0.666666666667,0.0466666666667
0.36,203,286,14,97,0.676666666667,0.0466666666667
0.37,209,284,16,91,0.696666666667,0.0533333333333
0.38,217,281,19,83,0.723333333333,0.0633333333333
0.39,223,280,20,77,0.743333333333,0.0666666666667
0.4,224,278,22,76,0.746666666667,0.0733333333333
0.41,228,275,25,72,0.76,0.0833333333333
