threshold,tp,tn,fp,fn,tpr,fpr
0.0,0,300,0,300,0.0,0.0
0.01,1,300,0,299,0.00333333333333,0.0
0.02,2,300,0,298,0.00666666666667,0.0
0.03,3,300,0,297,0.01,0.0
0.04,4,300,0,296,0.0133333333333,0.0
0.05,7,300,0,293,0.0233333333333,0.0
0.06,9,300,0,291,0.03,0.0
0.07,14,300,0,286,0.0466666666667,0.0
0.08,22,300,0,278,0.0733333333333,0.0
0.09,32,300,0,268,0.106666666667,0.0
0.1,37,300,0,263,0.123333333333,0.0
0.11,47,299,1,253,0.156666666667,0.00333333333333
0.12,56,299,1,244,0.186666666667,0.00333333333333
0.13,61,299,1,239,0.203333333333,0.00333333333333
0.14,66,299,1,234,0.22,0.00333333333333
0.15,73,299,1,227,0.243333333333,0.00333333333333
0.16,93,298,2,207,0.31,0.00666666666667
0.17,97,298,2,203,0.323333333333,0.00666666666667
0.18,105,298,2,195,0.35,0.00666666666667
0.19,112,297,3,188,0.373333333333,0.01
0.2,118,296,4,182,0.393333333333,0.0133333333333
0.21,128,296,4,172,0.426666666667,0.0133333333333
0.22,140,295,5,160,0.466666666667,0.0166666666667
0.23,145,294,6,155,0.483333333333,0.02
0.24,155,294,6,145,0.516666666667,0.02
0.25,164,293,7,136,0.546666666667,0.0233333333333
0.26,170,292,8,130,0.566666666667,0.0266666666667
0.27,177,292,8,123,0.59,0.0266666666667
0.28,180,291,9,120,0.6,0.03
0.29,183,291,9,117,0.61,0.03
0.3,193,290,10,107,0.643333333333,0.0333333333333
0.31,199,289,11,101,0.663333333333,0.0366666666667
0.32,200,287,13,100,0.666666666667,0.0433333333333
0.33,207,284,16,93,0.69,0.0533333333333
0.34,210,282,18,90,0.7,0.06
0.35,216,282,18,84,0.72,0.06
0.36,220,280,20,80,0.733333333333,0.0666666666667
0.37,223,279,21,77,0.743333333333,0.07
0.38,226,278,22,74,0.753333333333,0.0733333333333
0.39,231,276,24,69,0.77,0.08
0.4,232,274,26,68,0.773333333333,0.0866666666667
0.41,232,273,27,68,0.773333333333,0.09
