threshold,tp,tn,fp,fn,tpr,fpr
0.0,0,300,0,300,0.0,0.0
0.01,0,300,0,300,0.0,0.0
0.02,1,300,0,299,0.00333333333333,0.0
0.03,4,300,0,296,0.0133333333333,0.0
0.04,5,300,0,295,0.0166666666667,0.0
0.05,6,300,0,294,0.02,0.0
0.06,8,300,0,292,0.0266666666667,0.0
0.07,10,300,0,290,0.0333333333333,0.0
0.08,12,300,0,288,0.04,0.0
0.09,17,300,0,283,0.0566666666667,0.0
0.1,26,300,0,274,0.0866666666667,0.0
0.11,32,300,0,268,0.106666666667,0.0
0.12,39,300,0,261,0.13,0.0
0.13,48,300,0,252,0.16,0.0
0.14,54,300,0,246,0.18,0.0
0.15,62,300,0,238,0.206666666667,0.0
0.16,74,300,0,226,0.246666666667,0.0
0.17,81,300,0,219,0.27,0.0
0.18,92,300,0,208,0.306666666667,0.0
0.19,97,298,2,203,0.323333333333,0.00666666666667
0.2,103,298,2,197,0.343333333333,0.00666666666667
0.21,111,297,3,189,0.37,0.01
0.22,118,295,5,182,0.393333333333,0.0166666666667
0.23,125,295,5,175,0.416666666667,0.0166666666667
0.24,132,295,5,168,0.44,0.0166666666667
0.25,135,294,6,165,0.45,0.02
0.26,141,294,6,159,0.47,0.02
0.27,152,294,6,148,0.506666666667,0.02
0.28,158,294,6,142,0.526666666667,0.02
0.29,167,293,7,133,0.556666666667,0.0233333333333
0.3,170,293,7,130,0.566666666667,0.0233333333333
0.31,181,293,7,119,0.603333333333,0.0233333333333
0.32,186,292,8,114,0.62,0.0266666666667
0.33,193,292,8,107,0.643333333333,0.0266666666667
0.34,201,291,9,99,0.67,0.03
0.35,208,290,10,92,0.693333333333,0.0333333333333
0.36,210,290,10,90,0.7,0.0333333333333
0.37,214,289,11,86,0.713333333333,0.0366666666667
0.38,217,287,13,83,0.723333333333,0.0433333333333
0.39,221,287,13,79,0.736666666667,0.0433333333333
0.4,223,287,13,77,0.743333333333,0.0433333333333
0.41,224,286,14,76,0.746666666667,0.0466666666667
