threshold,tp,tn,fp,fn,tpr,fpr
0.0,0,300,0,300,0.0,0.0
0.01,2,300,0,298,0.00666666666667,0.0
0.02,4,300,0,296,0.0133333333333,0.0
0.03,6,300,0,294,0.02,0.0
0.04,9,300,0,291,0.03,0.0
0.05,13,300,0,287,0.0433333333333,0.0
0.06,17,300,0,283,0.0566666666667,0.0
0.07,20,300,0,280,0.0666666666667,0.0
0.08,22,300,0,278,0.0733333333333,0.0
0.09,26,300,0,274,0.0866666666667,0.0
0.1,35,300,0,265,0.116666666667,0.0
0.11,44,300,0,256,0.146666666667,0.0
0.12,49,300,0,251,0.163333333333,0.0
0.13,65,300,0,235,0.216666666667,0.0
0.14,69,300,0,231,0.23,0.0
0.15,75,300,0,225,0.25,0.0
0.16,79,300,0,221,0.263333333333,0.0
0.17,84,300,0,216,0.28,0.0
0.18,95,300,0,205,0.316666666667,0.0
0.19,99,300,0,201,0.33,0.0
0.2,109,299,1,191,0.363333333333,0.00333333333333
0.21,117,299,1,183,0.39,0.00333333333333
0.22,120,299,1,180,0.4,0.00333333333333
0.23,134,299,1,166,0.446666666667,0.00333333333333
0.24,141,299,1,159,0.47,0.00333333333333
0.25,146,298,2,154,0.486666666667,0.00666666666667
0.26,150,298,2,150,0.5,0.00666666666667
0.27,152,298,2,148,0.506666666667,0.00666666666667
0.28,159,297,3,141,0.53,0.01
0.29,163,297,3,137,0.543333333333,0.01
0.3,167,297,3,133,0.556666666667,0.01
0.31,174,296,4,126,0.58,0.0133333333333
0.32,180,296,4,120,0.6,0.0133333333333
0.33,186,296,4,114,0.62,0.0133333333333
0.34,191,295,5,109,0.636666666667,0.0166666666667
0.35,196,295,5,104,0.653333333333,0.0166666666667
0.36,201,295,5,99,0.67,0.0166666666667
0.37,206,295,5,94,0.686666666667,0.0166666666667
0.38,212,295,5,88,0.706666666667,0.0166666666667
0.39,219,294,6,81,0.73,0.02
0.4,224,292,8,76,0.746666666667,0.0266666666667
0.41,225,290,10,75,0.75,0.0333333333333
0.42,229,290,10,71,0.763333333333,0.0333333333333
0.43,231,290,10,69,0.77,0.0333333333333
0.44,232,289,11,68,0.773333333333,0.0366666666667
0.45,233,288,12,67,0.776666666667,0.04
0.46,235,288,12,65,0.783333333333,0.04
0.47,236,286,14,64,0.786666666667,0.0466666666667
0.48,240,285,15,60,0.8,0.05
0.49,241,282,18,59,0.803333333333,0.06
0.5,242,281,19,58,0.806666666667,0.0633333333333
0.51,248,281,19,52,0.826666666667,0.0633333333333
0.52,250,281,19,50,0.833333333333,0.0633333333333
0.53,252,280,20,48,0.84,0.0666666666667
0.54,255,279,21,45,0.85,0.07
0.55,258,278,22,42,0.86,0.0733333333333
0.56,258,278,22,42,0.86,0.0733333333333
0.57,259,277,23,41,0.863333333333,0.0766666666667
0.58,260,276,24,40,0.866666666667,0.08
0.59,263,276,24,37,0.876666666667,0.08
0.6,266,275,25,34,0.886666666667,0.0833333333333
0.61,268,274,26,32,0.893333333333,0.0866666666667
0.62,268,273,27,32,0.893333333333,0.09
0.63,269,272,28,31,0.896666666667,0.0933333333333
0.64,272,270,30,28,0.906666666667,0.1
0.65,272,269,31,28,0.906666666667,0.103333333333
0.66,273,268,32,27,0.91,0.106666666667
0.67,273,266,34,27,0.91,0.113333333333
0.68,274,264,36,26,0.913333333333,0.12
0.69,277,264,36,23,0.923333333333,0.12
0.7,279,262,38,21,0.93,0.126666666667
0.71,279,262,38,21,0.93,0.126666666667
0.72,279,262,38,21,0.93,0.126666666667
0.73,280,260,40,20,0.933333333333,0.133333333333
0.74,280,259,41,20,0.933333333333,0.136666666667
0.75,280,255,45,20,0.933333333333,0.15
0.76,280,255,45,20,0.933333333333,0.15
0.77,281,253,47,19,0.936666666667,0.156666666667
0.78,281,249,51,19,0.936666666667,0.17
0.79,282,246,54,18,0.94,0.18
0.8,282,246,54,18,0.94,0.18
0.81,284,244,56,16,0.946666666667,0.186666666667
0.82,284,243,57,16,0.946666666667,0.19
0.83,285,240,60,15,0.95,0.2
0.84,285,237,63,15,0.95,0.21
0.85,286,235,65,14,0.953333333333,0.216666666667
0.86,286,232,68,14,0.953333333333,0.226666666667
0.87,287,231,69,13,0.956666666667,0.23
0.88,287,230,70,13,0.956666666667,0.233333333333
0.89,287,227,73,13,0.956666666667,0.243333333333
0.9,289,224,76,11,0.963333333333,0.253333333333
0.91,289,221,79,11,0.963333333333,0.263333333333
0.92,290,221,79,10,0.966666666667,0.263333333333
0.93,290,216,84,10,0.966666666667,0.28
0.94,290,214,86,10,0.966666666667,0.286666666667
0.95,291,213,87,9,0.97,0.29
0.96,291,210,90,9,0.97,0.3
0.97,291,209,91,9,0.97,0.303333333333
0.98,291,208,92,9,0.97,0.306666666667
0.99,291,207,93,9,0.97,0.31
1.0,291,206,94,9,0.97,0.313333333333
1.01,291,204,96,9,0.97,0.32
1.02,292,202,98,8,0.973333333333,0.326666666667
1.03,292,200,100,8,0.973333333333,0.333333333333
1.04,293,200,100,7,0.976666666667,0.333333333333
1.05,293,199,101,7,0.976666666667,0.336666666667
1.06,293,197,103,7,0.976666666667,0.343333333333
1.07,293,196,104,7,0.976666666667,0.346666666667
1.08,293,193,107,7,0.976666666667,0.356666666667
1.09,293,191,109,7,0.976666666667,0.363333333333
1.1,293,189,111,7,0.976666666667,0.37
1.11,293,187,113,7,0.976666666667,0.376666666667
1.12,293,184,116,7,0.976666666667,0.386666666667
1.13,294,182,118,6,0.98,0.393333333333
1.14,295,180,120,5,0.983333333333,0.4
1.15,295,178,122,5,0.983333333333,0.406666666667
1.16,295,175,125,5,0.983333333333,0.416666666667
1.17,295,171,129,5,0.983333333333,0.43
1.18,295,167,133,5,0.983333333333,0.443333333333
1.19,295,167,133,5,0.983333333333,0.443333333333
1.2,295,165,135,5,0.983333333333,0.45
1.21,295,164,136,5,0.983333333333,0.453333333333
1.22,297,163,137,3,0.99,0.456666666667
1.23,297,160,140,3,0.99,0.466666666667
1.24,297,159,141,3,0.99,0.47
1.25,297,157,143,3,0.99,0.476666666667
1.26,297,157,143,3,0.99,0.476666666667
1.27,297,155,145,3,0.99,0.483333333333
1.28,297,154,146,3,0.99,0.486666666667
1.29,298,150,150,2,0.993333333333,0.5
1.3,298,149,151,2,0.993333333333,0.503333333333
1.31,298,147,153,2,0.993333333333,0.51
1.32,298,145,155,2,0.993333333333,0.516666666667
1.33,298,141,159,2,0.993333333333,0.53
1.34,298,138,162,2,0.993333333333,0.54
1.35,298,138,162,2,0.993333333333,0.54
1.36,298,136,164,2,0.993333333333,0.546666666667
1.37,298,133,167,2,0.993333333333,0.556666666667
1.38,298,132,168,2,0.993333333333,0.56
1.39,298,131,169,2,0.993333333333,0.563333333333
1.4,298,128,172,2,0.993333333333,0.573333333333
1.41,298,128,172,2,0.993333333333,0.573333333333
1.42,298,125,175,2,0.993333333333,0.583333333333
1.43,298,124,176,2,0.993333333333,0.586666666667
1.44,298,124,176,2,0.993333333333,0.586666666667
1.45,298,123,177,2,0.993333333333,0.59
1.46,298,121,179,2,0.993333333333,0.596666666667
1.47,298,118,182,2,0.993333333333,0.606666666667
1.48,298,114,186,2,0.993333333333,0.62
1.49,298,113,187,2,0.993333333333,0.623333333333
1.5,298,110,190,2,0.993333333333,0.633333333333
1.51,298,108,192,2,0.993333333333,0.64
1.52,298,104,196,2,0.993333333333,0.653333333333
1.53,298,100,200,2,0.993333333333,0.666666666667
1.54,298,97,203,2,0.993333333333,0.676666666667
1.55,298,96,204,2,0.993333333333,0.68
1.56,298,96,204,2,0.993333333333,0.68
1.57,298,92,208,2,0.993333333333,0.693333333333
1.58,298,91,209,2,0.993333333333,0.696666666667
1.59,298,89,211,2,0.993333333333,0.703333333333
1.6,298,89,211,2,0.993333333333,0.703333333333
1.61,298,86,214,2,0.993333333333,0.713333333333
1.62,298,86,214,2,0.993333333333,0.713333333333
1.63,298,81,219,2,0.993333333333,0.73
1.64,298,80,220,2,0.993333333333,0.733333333333
1.65,298,78,222,2,0.993333333333,0.74
1.66,299,76,224,1,0.996666666667,0.746666666667
1.67,299,72,228,1,0.996666666667,0.76
1.68,299,71,229,1,0.996666666667,0.763333333333
1.69,299,70,230,1,0.996666666667,0.766666666667
1.7,299,70,230,1,0.996666666667,0.766666666667
1.71,299,68,232,1,0.996666666667,0.773333333333
1.72,299,66,234,1,0.996666666667,0.78
1.73,299,63,237,1,0.996666666667,0.79
1.74,299,62,238,1,0.996666666667,0.793333333333
1.75,299,61,239,1,0.996666666667,0.796666666667
1.76,299,58,242,1,0.996666666667,0.806666666667
1.77,299,56,244,1,0.996666666667,0.813333333333
1.78,299,55,245,1,0.996666666667,0.816666666667
1.79,299,52,248,1,0.996666666667,0.826666666667
1.8,299,50,250,1,0.996666666667,0.833333333333
1.81,299,48,252,1,0.996666666667,0.84
1.82,299,48,252,1,0.996666666667,0.84
1.83,299,45,255,1,0.996666666667,0.85
1.84,299,44,256,1,0.996666666667,0.853333333333
1.85,299,44,256,1,0.996666666667,0.853333333333
1.86,299,44,256,1,0.996666666667,0.853333333333
1.87,299,42,258,1,0.996666666667,0.86
1.88,299,40,260,1,0.996666666667,0.866666666667
1.89,299,37,263,1,0.996666666667,0.876666666667
1.9,299,37,263,1,0.996666666667,0.876666666667
1.91,299,34,266,1,0.996666666667,0.886666666667
1.92,299,34,266,1,0.996666666667,0.886666666667
1.93,299,33,267,1,0.996666666667,0.89
1.94,299,30,270,1,0.996666666667,0.9
1.95,300,28,272,0,1.0,0.906666666667
1.96,300,28,272,0,1.0,0.906666666667
1.97,300,28,272,0,1.0,0.906666666667
1.98,300,28,272,0,1.0,0.906666666667
1.99,300,27,273,0,1.0,0.91
2.0,300,27,273,0,1.0,0.91
2.01,300,23,277,0,1.0,0.923333333333
2.02,300,22,278,0,1.0,0.926666666667
2.03,300,20,280,0,1.0,0.933333333333
2.04,300,20,280,0,1.0,0.933333333333
2.05,300,19,281,0,1.0,0.936666666667
2.06,300,18,282,0,1.0,0.94
2.07,300,18,282,0,1.0,0.94
2.08,300,17,283,0,1.0,0.943333333333
2.09,300,15,285,0,1.0,0.95
2.1,300,14,286,0,1.0,0.953333333333
2.11,300,13,287,0,1.0,0.956666666667
2.12,300,12,288,0,1.0,0.96
2.13,300,12,288,0,1.0,0.96
2.14,300,12,288,0,1.0,0.96
2.15,300,10,290,0,1.0,0.966666666667
2.16,300,10,290,0,1.0,0.966666666667
2.17,300,8,292,0,1.0,0.973333333333
2.18,300,8,292,0,1.0,0.973333333333
2.19,300,8,292,0,1.0,0.973333333333
2.2,300,8,292,0,1.0,0.973333333333
2.21,300,7,293,0,1.0,0.976666666667
2.22,300,7,293,0,1.0,0.976666666667
2.23,300,6,294,0,1.0,0.98
2.24,300,6,294,0,1.0,0.98
2.25,300,5,295,0,1.0,0.983333333333
2.26,300,5,295,0,1.0,0.983333333333
2.27,300,5,295,0,1.0,0.983333333333
2.28,300,5,295,0,1.0,0.983333333333
2.29,300,5,295,0,1.0,0.983333333333
2.3,300,5,295,0,1.0,0.983333333333
2.31,300,4,296,0,1.0,0.986666666667
2.32,300,3,297,0,1.0,0.99
2.33,300,3,297,0,1.0,0.99
2.34,300,3,297,0,1.0,0.99
2.35,300,2,298,0,1.0,0.993333333333
2.36,300,2,298,0,1.0,0.993333333333
2.37,300,2,298,0,1.0,0.993333333333
