threshold,tp,tn,fp,fn,tpr,fpr
0.0,0,300,0,300,0.0,0.0
0.01,0,300,0,300,0.0,0.0
0.02,1,300,0,299,0.00333333333333,0.0
0.03,4,300,0,296,0.0133333333333,0.0
0.04,5,300,0,295,0.0166666666667,0.0
0.05,6,300,0,294,0.02,0.0
0.06,10,300,0,290,0.0333333333333,0.0
0.07,16,300,0,284,0.0533333333333,0.0
0.08,21,300,0,279,0.07,0.0
0.09,31,300,0,269,0.103333333333,0.0
0.1,36,300,0,264,0.12,0.0
0.11,41,300,0,259,0.136666666667,0.0
0.12,53,300,0,247,0.176666666667,0.0
0.13,60,300,0,240,0.2,0.0
0.14,66,300,0,234,0.22,0.0
0.15,77,300,0,223,0.256666666667,0.0
0.16,81,299,1,219,0.27,0.00333333333333
0.17,92,299,1,208,0.306666666667,0.00333333333333
0.18,97,299,1,203,0.323333333333,0.00333333333333
0.19,105,299,1,195,0.35,0.00333333333333
0.2,114,299,1,186,0.38,0.00333333333333
0.21,121,299,1,179,0.403333333333,0.00333333333333
0.22,127,299,1,173,0.423333333333,0.00333333333333
0.23,134,299,1,166,0.446666666667,0.00333333333333
0.24,141,298,2,159,0.47,0.00666666666667
0.25,149,298,2,151,0.496666666667,0.00666666666667
0.26,155,298,2,145,0.516666666667,0.00666666666667
0.27,162,297,3,138,0.54,0.01
0.28,166,297,3,134,0.553333333333,0.01
0.29,173,297,3,127,0.576666666667,0.01
0.3,182,297,3,118,0.606666666667,0.01
0.31,191,297,3,109,0.636666666667,0.01
0.32,197,296,4,103,0.656666666667,0.0133333333333
0.33,204,296,4,96,0.68,0.0133333333333
0.34,207,296,4,93,0.69,0.0133333333333
0.35,211,296,4,89,0.703333333333,0.0133333333333
0.36,213,295,5,87,0.71,0.0166666666667
0.37,215,293,7,85,0.716666666667,0.0233333333333
0.38,220,291,9,80,0.733333333333,0.03
0.39,224,291,9,76,0.746666666667,0.03
0.4,230,290,10,70,0.766666666667,0.0333333333333
0.41,235,287,13,65,0.783333333333,0.0433333333333
