threshold,tp,tn,fp,fn,tpr,fpr
0.0,0,300,0,300,0.0,0.0
0.01,0,300,0,300,0.0,0.0
0.02,3,300,0,297,0.01,0.0
0.03,3,300,0,297,0.01,0.0
0.04,7,300,0,293,0.0233333333333,0.0
0.05,9,300,0,291,0.03,0.0
0.06,13,300,0,287,0.0433333333333,0.0
0.07,16,300,0,284,0.0533333333333,0.0
0.08,18,300,0,282,0.06,0.0
0.09,24,300,0,276,0.08,0.0
0.1,33,300,0,267,0.11,0.0
0.11,42,300,0,258,0.14,0.0
0.12,44,300,0,256,0.146666666667,0.0
0.13,55,300,0,245,0.183333333333,0.0
0.14,61,300,0,239,0.203333333333,0.0
0.15,67,300,0,233,0.223333333333,0.0
0.16,74,300,0,226,0.246666666667,0.0
0.17,79,300,0,221,0.263333333333,0.0
0.18,86,300,0,214,0.286666666667,0.0
0.19,96,300,0,204,0.32,0.0
0.2,103,300,0,197,0.343333333333,0.0
0.21,117,300,0,183,0.39,0.0
0.22,126,300,0,174,0.42,0.0
0.23,128,300,0,172,0.426666666667,0.0
0.24,137,300,0,163,0.456666666667,0.0
0.25,145,300,0,155,0.483333333333,0.0
0.26,151,300,0,149,0.503333333333,0.0
0.27,156,300,0,144,0.52,0.0
0.28,166,300,0,134,0.553333333333,0.0
0.29,170,298,2,130,0.566666666667,0.00666666666667
0.3,173,298,2,127,0.576666666667,0.00666666666667
0.31,182,298,2,118,0.606666666667,0.00666666666667
0.32,188,295,5,112,0.626666666667,0.0166666666667
0.33,190,295,5,110,0.633333333333,0.0166666666667
0.34,195,295,5,105,0.65,0.0166666666667
0.35,201,295,5,99,0.67,0.0166666666667
0.36,206,295,5,94,0.686666666667,0.0166666666667
0.37,211,294,6,89,0.703333333333,0.02
0.38,218,293,7,82,0.726666666667,0.0233333333333
0.39,220,292,8,80,0.733333333333,0.0266666666667
0.4,225,291,9,75,0.75,0.03
0.41,228,291,9,72,0.76,0.03
0.42,231,291,9,69,0.77,0.03
